Type of Service,Aggregation Level,State/ Territory,County,Number of Fee-for-Service Beneficiaries,Number of Providers,Average Number of Users per Provider,Percentage of Users out of FFS Beneficiaries,Average Number of Providers per County,Moratorium State/County,Number of Fee-for-Service Beneficiaries Colors - Single Color Scale,Number of Fee-for-Service Beneficiaries Colors - Dual Color Scale,Number of Fee-for-Service Beneficiaries Description,Number of Providers Colors - Single Color Scale,Number of Providers Colors - Dual Color Scale,Number of Providers Description,Average Number of Users per Provider Colors - Single Color Scale,Average Number of Users per Provider Colors - Dual Color Scale,Average Number of Users per Provider Description,Percentage of Users out of FFS Beneficiaries Colors - Single Color Scale,Percentage of Users out of FFS Beneficiaries Colors - Dual Color Scale,Percentage of Users out of FFS Beneficiaries Description,Average Number of Providers per County Colors - Single Color Scale,Average Number of Providers per County Colors - Dual Color Scale,Average Number of Providers per County Description
Ambulance,COUNTY,MO,Clark,1491,2,101,13.5%,2,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,MO,Clay,28564,21,169.2,12.4%,21,No,ORANGE 5,GREEN 5,"Extreme Values (More than 23,277 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers)
Ambulance,COUNTY,MO,Clinton,3388,8,49.9,11.8%,8,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,MO,Cole,11837,6,231.3,11.7%,6,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (10,533 - 23,277 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,MO,Cooper,2977,3,128.3,12.9%,3,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,Crawford,4378,6,105.5,14.5%,6,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,MO,Dade,1328,1,49,3.7%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,MO,Dallas,2367,1,291,12.3%,1,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,MO,Daviess,1716,4,55.3,12.9%,4,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,DeKalb,1965,4,70,14.2%,4,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,Dent,3598,3,41,3.4%,3,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,Douglas,2022,1,71,3.5%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,MO,Dunklin,6870,10,117.5,17.1%,10,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (14.7 - 21.7% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,MO,Franklin,11834,16,92.6,12.5%,16,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (10,533 - 23,277 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers)
Ambulance,COUNTY,MO,Gasconade,2857,8,55.1,15.4%,8,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (14.7 - 21.7% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,MO,Greene,32863,6,470,8.6%,6,No,ORANGE 5,GREEN 5,"Extreme Values (More than 23,277 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 5,GREEN 5,Extreme Values (More than 319 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,MO,Grundy,2378,3,122,15.4%,3,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (14.7 - 21.7% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,Harrison,2035,3,115,17%,3,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (14.7 - 21.7% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,Henry,4817,9,30.7,5.7%,9,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,MO,Hickory,2247,1,65,2.9%,1,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,MO,Holt,1084,2,68.5,12.6%,2,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,MO,Howard,1778,2,90,10.1%,2,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,MO,Howell,8281,4,272,13.1%,4,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,Iron,2577,6,73,17%,6,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (14.7 - 21.7% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,MO,Jackson,73706,36,280.1,13.7%,36,No,ORANGE 5,GREEN 5,"Extreme Values (More than 23,277 Beneficiaries)",ORANGE 5,GREEN 5,Extreme Values (More than 22 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 5,GREEN 5,Extreme Values (More than 22 Providers)
Ambulance,COUNTY,MO,Jasper,17101,7,330.6,13.5%,7,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (10,533 - 23,277 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 5,GREEN 5,Extreme Values (More than 319 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,MO,Jefferson,23737,18,179.8,13.6%,18,No,ORANGE 5,GREEN 5,"Extreme Values (More than 23,277 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers)
Ambulance,COUNTY,MO,Johnson,6209,4,189.8,12.2%,4,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,Knox,929,2,54,11.6%,2,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,MO,Laclede,4901,3,250,15.3%,3,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (14.7 - 21.7% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,Lafayette,5515,13,56.9,13.4%,13,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers)
Ambulance,COUNTY,MO,Lawrence,5584,4,186,13.3%,4,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,Lewis,1939,3,81.7,12.6%,3,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,Lincoln,6489,5,190,14.6%,5,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,Linn,2894,3,129.7,13.4%,3,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,Livingston,3029,5,97.4,16.1%,5,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (14.7 - 21.7% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,McDonald,2788,6,58.7,12.6%,6,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,MO,Macon,3634,2,46.5,2.6%,2,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,MO,Madison,2846,6,58,12.2%,6,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,MO,Maries,1934,7,36,13%,7,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,MO,Marion,5829,5,162.8,14%,5,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,Mercer,830,2,71.5,17.2%,2,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (14.7 - 21.7% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,MO,Miller,4453,7,80.6,12.7%,7,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,MO,Mississippi,2887,3,144,15%,3,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (14.7 - 21.7% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,Moniteau,2477,2,144.5,11.7%,2,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,MO,Monroe,1997,5,47.4,11.9%,5,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,Montgomery,2350,5,60.6,12.9%,5,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,Morgan,5207,5,119.2,11.4%,5,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,New Madrid,3672,5,123.4,16.8%,5,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (14.7 - 21.7% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,Newton,9264,5,233.2,12.6%,5,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,Nodaway,3520,2,208,11.8%,2,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,MO,Oregon,2412,3,98,12.2%,3,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,Osage,2218,4,63.3,11.4%,4,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,Ozark,2220,3,64.7,8.7%,3,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,Pemiscot,3334,6,93.8,16.9%,6,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (14.7 - 21.7% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,MO,Perry,3519,4,127,14.4%,4,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,Pettis,7189,5,184.6,12.8%,5,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,MO,Phelps,7463,9,52.2,6.3%,9,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
